dpi_true_id,school_name,lat,long,accurate_agency_type,address,milwaukee_indicator,cfc_school
0000_1948,Saint Mary Czestochowa,43.073693999589,-87.901848996012,Private School,"3027 N Fratney St, Milwaukee, WI 53212",1,
0000_6690,Saint Matthias Parish School,42.986356999253,-88.028586976243,Private School,"9300 W Beloit Rd, Milwaukee, WI 53227",1,
0000_7400,Saint Peter Immanuel Lutheran School,43.136804994725,-88.007515961308,Private School,"7801 W Acacia St, Milwaukee, WI 53223",1,
0000_1302,Saint Philip's Lutheran School,43.073354993515,-87.904891962141,Private School,"3012 N Holton St, Milwaukee, WI 53212",1,
0000_1200,Saint Rafael the Archangel School,43.003770989833,-87.953707998597,Private School,"2251 S 31st St, Milwaukee, WI 53215",1,
0000_7670,Saint Roman Parish School,42.967190981362,-87.937130019039,Private School,"1810 W Bolivar Ave, Milwaukee, WI 53221",1,
0000_1947,Saint Rose,43.036488994507,-87.952206967376,Private School,"514 N 31st St, Milwaukee, WI 53208",1,
0000_7720,Saint Sebastian School,43.054073973416,-87.98107635085,Private School,"1747 N 54th St, Milwaukee, WI 53208",1,
0000_7980,Saint Thomas Aquinas Academy,42.971591983443,-87.905602998988,Private School,"341 E Norwich St, Milwaukee, WI 53207",1,
0000_3160,Saint Vincent Pallotti Catholic School,43.033440577907,-88.007441989113,Private School,"201 N 76th St, Milwaukee, WI 53213",1,
0000_8075,Salam School,42.958934010453,-87.929957959768,Private School,"4707 S 13th St, Milwaukee, WI 53221",1,
0000_8080,Salem Evangelical Lutheran School,43.14177701396,-88.043865006437,Private School,"6810 N 107th St, Milwaukee, WI 53224",1,
8001_8121,Seeds of Health Elementary Program,43.016013010878,-87.954526994356,Public Charter School,"1445 S 32nd St, Milwaukee, WI 53215",1,
0000_1704,Shining Star Christian Schools Inc,43.091041982682,-88.031114036232,Private School,"4050 N 95th St, Milwaukee, WI 53222",1,
0000_8217,Siloah Lutheran School,43.085107008501,-87.938768010558,Private School,"3721 N 21st St, Milwaukee, WI 53206",1,
8027_8136,Stellar Collegiate Charter School,43.000557996799,-87.925261998514,Public Charter School,"2431 S 10th St, Milwaukee, WI 53215",1,
0000_1048,Tamarack Waldorf School,43.053190020403,-87.897125039202,Private School,"1150 E Brady St, Milwaukee, WI 53202",1,
8001_8115,Tenor High,43.04204900425,-87.915619960015,Public Charter School,"918 Vel R Phillips Ave, Milwaukee, WI 53203",1,
0000_1776,The City School,43.175187992479,-88.003407990562,Private School,"8684 N 76th Pl, Milwaukee, WI 53223",1,
0000_8379,Torah Academy of Milwaukee,43.141255994859,-87.932858014448,Private School,"6800 N Green Bay Ave, Glendale, WI 53209",1,
8003_8137,United Community Center Acosta Middle School,43.020457012123,-87.918001007251,Public Charter School,"1038 S 6th Street, Milwaukee, WI 53204",1,
0000_1868,Universal Scholars Academy,43.060934982757,-87.980364965266,Private School,"5310 W North Ave, Milwaukee, WI 53208",1,
